entrega_id,lat,lon,demanda_kg,janela_inicio,janela_fim
E001,-23.609375,-46.659987,114,9,18
E002,-23.476051,-46.5695,111,11,18
E003,-23.547231,-46.599693,41,8,17
E004,-23.572624,-46.728785,101,11,15
E005,-23.558495,-46.514616,112,8,14
E006,-23.53215,-46.67006,117,8,16
E007,-23.500655,-46.762408,7,10,17
E008,-23.629977,-46.713603,90,11,17
E009,-23.633327,-46.711684,119,10,15
E010,-23.461626,-46.625826,92,8,17
E011,-23.582987,-46.651908,31,8,15
E012,-23.663347,-46.656947,92,9,18
E013,-23.514495,-46.580424,17,9,18
E014,-23.51293,-46.60281,60,11,17
E015,-23.672457,-46.604716,77,9,14
E016,-23.531641,-46.597214,57,8,19
E017,-23.491153,-46.580709,85,11,14
E018,-23.520049,-46.798636,32,8,19
E019,-23.499441,-46.659155,74,8,14
E020,-23.662342,-46.804417,79,9,17
E021,-23.523517,-46.627115,77,9,14
E022,-23.57421,-46.630371,38,10,14
E023,-23.588623,-46.546357,40,11,18
E024,-23.480356,-46.534989,34,11,18
E025,-23.431658,-46.613778,58,9,14
E026,-23.40645,-46.670029,72,11,19
E027,-23.444815,-46.591187,46,10,15
E028,-23.558779,-46.672233,52,8,15
E029,-23.521782,-46.630111,37,11,15
E030,-23.488654,-46.551109,30,8,16
E031,-23.540306,-46.674622,80,10,15
E032,-23.539539,-46.565546,98,11,16
E033,-23.4841,-46.575808,38,8,15
E034,-23.554743,-46.706383,103,9,14
E035,-23.608343,-46.552088,70,9,16
E036,-23.583158,-46.574115,24,11,18
E037,-23.499287,-46.621846,47,8,18
E038,-23.549761,-46.690986,5,10,16
E039,-23.522783,-46.698736,9,9,15
E040,-23.496394,-46.673013,43,8,18
