texto,categoria,prioridade
"Cliente ausente no endereço, tentativa 2",Cliente Ausente,Média
Atraso por trânsito intenso na marginal,Atraso,Alta
Endereço incompleto — sem número,Endereco Incorreto,Alta
Embalagem avariada na conferência,Avaria,Alta
Destinatário recusou recebimento,Recusa,Média
Devolução solicitada pelo embarcador,Devolucao,Média
Carga aguardando liberação no CD,Atraso,Baixa
"Cliente ausente no endereço, tentativa 2",Cliente Ausente,Média
Atraso por trânsito intenso na marginal,Atraso,Alta
Endereço incompleto — sem número,Endereco Incorreto,Alta
Embalagem avariada na conferência,Avaria,Alta
Destinatário recusou recebimento,Recusa,Média
Devolução solicitada pelo embarcador,Devolucao,Média
Carga aguardando liberação no CD,Atraso,Baixa
"Cliente ausente no endereço, tentativa 2",Cliente Ausente,Média
Atraso por trânsito intenso na marginal,Atraso,Alta
Endereço incompleto — sem número,Endereco Incorreto,Alta
Embalagem avariada na conferência,Avaria,Alta
Destinatário recusou recebimento,Recusa,Média
Devolução solicitada pelo embarcador,Devolucao,Média
Carga aguardando liberação no CD,Atraso,Baixa
"Cliente ausente no endereço, tentativa 2",Cliente Ausente,Média
Atraso por trânsito intenso na marginal,Atraso,Alta
Endereço incompleto — sem número,Endereco Incorreto,Alta
Embalagem avariada na conferência,Avaria,Alta
Destinatário recusou recebimento,Recusa,Média
Devolução solicitada pelo embarcador,Devolucao,Média
Carga aguardando liberação no CD,Atraso,Baixa
"Cliente ausente no endereço, tentativa 2",Cliente Ausente,Média
Atraso por trânsito intenso na marginal,Atraso,Alta
Endereço incompleto — sem número,Endereco Incorreto,Alta
Embalagem avariada na conferência,Avaria,Alta
Destinatário recusou recebimento,Recusa,Média
Devolução solicitada pelo embarcador,Devolucao,Média
Carga aguardando liberação no CD,Atraso,Baixa
"Cliente ausente no endereço, tentativa 2",Cliente Ausente,Média
Atraso por trânsito intenso na marginal,Atraso,Alta
Endereço incompleto — sem número,Endereco Incorreto,Alta
Embalagem avariada na conferência,Avaria,Alta
Destinatário recusou recebimento,Recusa,Média
